countyFIPS	stay at home	>50 gatherings	>500 gatherings	public schools	restaurant dine-in	entertainment/gym	federal guidelines
36015	-17.0	-23.0	-26.0	-21	-23	-23.0	-23
36017	-40.0	-46.0	-49.0	-44	-46	-46.0	-46
36019	-21.0	-27.0	-30.0	-25	-27	-27.0	-27
36021	-6.0	-12.0	-15.0	-10	-12	-12.0	-12
36023	-19.0	-25.0	-28.0	-23	-25	-25.0	-25
36025	-11.0	-17.0	-20.0	-15	-17	-17.0	-17
36027	1.0	-5.0	-8.0	-3	-5	-5.0	-5
36029	-2.0	-8.0	-11.0	-6	-8	-8.0	-8
36035	-17.0	-23.0	-26.0	-21	-23	-23.0	-23
36037	-8.0	-14.0	-17.0	-12	-14	-14.0	-14
36039	-28.0	-34.0	-37.0	-32	-34	-34.0	-34
36041	-46.0	-52.0	-55.0	-50	-52	-52.0	-52
36043	-5.0	-11.0	-14.0	-9	-11	-11.0	-11
36047	8.0	2.0	-1.0	4	2	2.0	2
36049	-20.0	-26.0	-29.0	-24	-26	-26.0	-26
36051	-9.0	-15.0	-18.0	-13	-15	-15.0	-15
36053	-2.0	-8.0	-11.0	-6	-8	-8.0	-8
36055	5.0	-1.0	-4.0	1	-1	-1.0	-1
36057	-13.0	-19.0	-22.0	-17	-19	-19.0	-19
36059	6.0	0.0	-3.0	2	0	0.0	0
36063	-17.0	-23.0	-26.0	-21	-23	-23.0	-23
36065	-9.0	-15.0	-18.0	-13	-15	-15.0	-15
36067	-3.0	-9.0	-12.0	-7	-9	-9.0	-9
36069	-21.0	-27.0	-30.0	-25	-27	-27.0	-27
36071	-3.0	-9.0	-12.0	-7	-9	-9.0	-9
36073	-28.0	-34.0	-37.0	-32	-34	-34.0	-34
36075	-16.0	-22.0	-25.0	-20	-22	-22.0	-22
36077	-5.0	-11.0	-14.0	-9	-11	-11.0	-11
36079	-10.0	-16.0	-19.0	-14	-16	-16.0	-16
36081	0.0	-6.0	-9.0	-4	-6	-6.0	-6
36083	-11.0	-17.0	-20.0	-15	-17	-17.0	-17
36087	8.0	2.0	-1.0	4	2	2.0	2
36089	-18.0	-24.0	-27.0	-22	-24	-24.0	-24
36091	-16.0	-22.0	-25.0	-20	-22	-22.0	-22
36093	-4.0	-10.0	-13.0	-8	-10	-10.0	-10
36095	-22.0	-28.0	-31.0	-26	-28	-28.0	-28
36099	-20.0	-26.0	-29.0	-24	-26	-26.0	-26
36101	-11.0	-17.0	-20.0	-15	-17	-17.0	-17
36103	6.0	0.0	-3.0	2	0	0.0	0
36105	-9.0	-15.0	-18.0	-13	-15	-15.0	-15
36107	-28.0	-34.0	-37.0	-32	-34	-34.0	-34
